filename,width,height,class,xmin,ymin,xmax,ymax
L-R_mp4-39_jpg.rf.bEPNPV5DyfzRR5ioRxnz.jpg,1920,1080,L,1035,123,1526,679
H-L_mp4-48_jpg.rf.bMqnAvpf2faZbfDb8oAc.jpg,1920,1080,H,426,163,1003,657
O_I_mov-8_jpg.rf.bP8Np49CocYr8JZyzO3t.jpg,1920,1080,O,413,133,865,691
B-D_mp4-5_jpg.rf.b7nVMVzRl4MzvRlOq4fr.jpg,640,360,B,49,94,150,285
C-D_mp4-38_jpg.rf.bMQpyE6WtW5mJcmThSb0.jpg,640,360,C,288,138,410,257
T-I_mp4-36_jpg.rf.bclaApzAS1yTqxVLleKb.jpg,640,360,T,308,149,461,276
L-L_mp4-14_jpg.rf.bTDGF3Uhl4QNsrUfK0na.jpg,1280,720,L,126,35,485,392
M-R_mp4-37_jpg.rf.c0CxYRMxoQ5DzcqNWsrP.jpg,1920,1080,M,262,0,642,621
L-L_mp4-52_jpg.rf.uFhvQijtS223CbIADDK7.jpg,1920,1080,L,1048,278,1621,923
I_D_mov-34_jpg.rf.AqyiacEHNUEunfDxLUDf.jpg,1920,1080,I,456,188,796,761
I_D_mov-14_jpg.rf.bemG1otjq06qqa8nRnc3.jpg,1920,1080,I,1096,141,1393,675
H-R_mp4-52_jpg.rf.BQ9cqf6oFbN50rU6pOPz.jpg,1920,1080,H,706,608,1249,1061
O_D_mov-1_jpg.rf.BsMzfIWK9nT8TckTxbJ2.jpg,1920,1080,O,431,225,855,633
U-R_mp4-107_jpg.rf.AyD3fqiGE1BqdUpUlN4t.jpg,1280,720,U,416,34,618,387
L-R_mp4-3_jpg.rf.BnlHIb4DHHSbFbOXdug3.jpg,1280,720,L,876,179,1159,448
V-I_mp4-11_jpg.rf.kWEiYMPB4xuTAHQpLv7Q.jpg,640,360,V,337,81,473,260
P-R_mp4-6_jpg.rf.c2axX5NWi29fyU04vTaq.jpg,1920,1080,P,556,160,946,715
O-R_mp4-61_jpg.rf.BDpcFZyjEtyVUqbLxiY4.jpg,1920,1080,O,1133,401,1505,757
L_I_mov-45_jpg.rf.uzd8cwCCBhjllCPVEWuB.jpg,1920,1080,L,1334,63,1727,487
Y-R_mp4-35_jpg.rf.c0fY8vqwjfuBKGpRSdGg.jpg,1280,720,Y,575,0,834,266
D-L_mp4-43_jpg.rf.uOMzILwHAZl8jwi3bgI4.jpg,1280,720,D,497,260,665,554
P-L_mp4-49_jpg.rf.BsbQkw5E3C2sIy4XHxRZ.jpg,1280,720,P,371,219,538,508
M-L_mp4-51_jpg.rf.c3NUu3v31EnRfjkCl1V7.jpg,1920,1080,M,1326,96,1759,823
D-I_mp4-35_jpg.rf.bln3y18fJGYrb9RRGkoV.jpg,640,360,D,419,109,496,224
T-I_mp4-28_jpg.rf.v0I29NAJPDuR1erRYS5U.jpg,640,360,T,153,49,376,231
N_I_mov-43_jpg.rf.kXhGdBOxnlaPxZ5M46sP.jpg,1920,1080,N,631,215,1087,887
O-L_mp4-2_jpg.rf.BzLJSJeeq7xfzkQhCh2w.jpg,1920,1080,O,1206,146,1605,563
M-L_mp4-54_jpg.rf.khCKowzUPYWENUWFoSUe.jpg,1280,720,M,404,192,560,443
A-L_mp4-51_jpg.rf.Gqu6bhienYotex1nIfR4.jpg,1280,720,A,187,117,412,258
O_D_mov-38_jpg.rf.CCL18SGkg8NooeHS4Ylk.jpg,1920,1080,O,1041,448,1265,653
G-I_mp4-19_jpg.rf.v1uIf4LbbnlxdTkmymhV.jpg,640,360,G,176,96,426,324
A-I_mp4-25_jpg.rf.CTeiymNLRD6dKo4wvvji.jpg,640,360,A,114,84,258,188
I-L_mp4-44_jpg.rf.kxD84VDBqSpjBnmFPgU2.jpg,1920,1080,I,746,288,1065,845
U_D_mov-4_jpg.rf.vw27rzGJp32gJkIRIHGc.jpg,1920,1080,U,297,236,720,1080
C-L_mp4-52_jpg.rf.ky6V19onFwoddwN9ttV6.jpg,1280,720,C,277,194,524,422
D-D_mp4-58_jpg.rf.ndxuodFx19SyfDk7Wyiz.jpg,640,360,D,150,124,275,295
H-R_mp4-58_jpg.rf.vE0koUfBhRHLUcnFBPkD.jpg,1920,1080,H,436,365,957,785
M-R_mp4-48_jpg.rf.CGqvejtIBy4Prfe4U6Gw.jpg,1280,720,M,832,372,964,594
H-L_mp4-55_jpg.rf.HBYy194M46UcOTeH5Tzg.jpg,1280,720,H,464,379,694,591
E-D_mp4-2_jpg.rf.Cgw2gcKCLLthUkEkplIj.jpg,640,360,E,152,109,287,294
D-D_mp4-19_jpg.rf.suS5FnLpzAji7kVZnxYP.jpg,640,360,D,322,94,549,360
B-R_mp4-12_jpg.rf.CfRLzUZKZJmxWO65hmJj.jpg,1280,720,B,956,255,1122,592
O_D_mov-13_jpg.rf.vFRxbZUJymCEd9ThXxov.jpg,1920,1080,O,1003,370,1311,699
H-L_mp4-32_jpg.rf.HDmdjUQUMrGmyFzKgK7L.jpg,1280,720,H,377,399,638,619
O-L_mp4-62_jpg.rf.c4uoM3xeV8mJjg800OhK.jpg,1920,1080,O,1226,166,1563,593
U-D_mp4-35_jpg.rf.vlJeLbURVtajETWHBWWS.jpg,640,360,U,177,22,343,335
